英文名稱,中文名稱
chorale cantata,聖詠清唱劇；聖詠康塔塔
chorale fantasia,聖詠幻想曲
chorale fugue,聖詠復格曲
chorale motet,聖詠經文歌
chorale partita,聖詠變奏曲
chorale prelude,聖詠前奏曲
chorale variations,聖詠變奏曲
Choralfuge {Ger.},聖詠復格曲
Choralis Contantinus {Lat.},康士坦丁聖詠集
Choralkantate {Ger.},聖詠清唱劇；聖詠康塔塔
Choralmotette{Ger.},聖詠經文歌
Choralnotation {Ger.},聖詠記譜法
Choralrhythmus {Ger.},聖詠節奏
Choralvariation {Ger.},聖詠變奏曲
Choralvorspiel {Ger.},聖詠前奏曲
Chorbuch {Ger.},合唱本
chord,和弦（絃）
chord construction,和弦（絃）結構
chord form,和弦（絃）形式
chord inversion,和弦轉位
chord of six,六和弦（絃）
chord of six four,六四和弦（絃）
chord of the added sixth,加六和弦（絃）
chord of the augmented fifth,增五度和弦（絃）
chord of the augmented sixth,增六和弦（絃）
chord of the augmented sixth and fifth,增六五和弦（絃）
chord of the augmented sixth fourth and third,增四三和弦（絃）
Chord of the augmented sixth fourth and third,增六四三和弦（絃）
Chord of the augmented sixth fouth and second,增六四二和弦（絃）
chord of the eleventh,十一和弦（絃）
chord of the four three,四三和弦（絃）
chord of the ninth,九和弦（絃）
chord of the second,二和弦（絃）
chord of the seventh,七和弦（絃）
chord of the six five,六五和弦（絃）
chord of the sixth fifth and third,六五和弦（絃），六五三和弦（絃）
chord of the sixth fourth and second,四二和弦（絃）；二和弦（絃）
chord of the sixth fourth and third,四三和弦（絃），六四三和弦（絃）
chord of the thirteenth,十三和弦（絃）
chord tone,和弦（絃）音
chord-progression,和弦（絃）進行
chord-repetition,同和弦（絃）反復
chorda {Gr.},音；音高
chorda {Lat.},音；音高
chordal style,和弦（絃）式風格
Chordaulion {Ger.},自動管風琴
Chordaulodion {Ger.},自動風琴
Chordirektor {Ger.},合唱指揮
chordophone,弦（絃）鳴樂器
chorea {Lat.},舞蹈歌
chorister,少年聖歌隊員
chorkantate {Ger.},合唱清唱劇；合唱康塔塔
Chorlied {Ger.},合唱歌曲
ch?ro {Por.},秀羅曲
Chorton {Ger.},歌隊音高；合唱團音高
Chor?bungen,合唱練習曲集
chorus,合唱；合唱團；副歌（通俗音樂）
chorus of equal voices,同聲合唱
chorus of mixed voices,混聲合唱
chorus {Lat.},中世紀風笛；古弦樂器(克魯特琴)
chroai {Gr.},增減(修正)
chromatic,半音的；變化音的
chromatic auxiliary note,變化助音
chromatic chord,變化和弦（絃）
chromatic concord,變化協和和弦（絃）
chromatic discord,變化不協和和弦（絃）
chromatic harp,半音豎琴
chromatic harp,半音?琴
chromatic interval,變化音程
chromatic minor scale,變化小音階
chromatic modulation,半音轉調
chromatic passing note,半音經過音
chromatic progression,半音進行
chromatic scale,半音音階
chromatic semitone,變化半音
chromatic seventh,變化七和弦（絃）
chromatic sign,變化記號
chromatic triad,變化三和弦（絃）
chromaticism,半音體系；半音風格；半音主義
Chromatik {Ger.},半音體系；半音風格；半音主義
chromatische Tonleiter {Ger.},半音音階
chromatisches Intervall {Ger.},變化音程
chromatisme {Fr.},半音體系；半音風格；半音主義
Chronomy,手勢音符
chronos protos {Gr.},古希臘音樂中時間與節奏的最小單位
chrotta {Lat.},克羅塔琴
church cantata,教會清唱劇；教會康塔塔
church choir,聖歌隊
church concerto,教會協奏曲
church mode,教會調式
church music,教會音樂
church sonata,教會奏鳴曲
chute {Fr.},下行倚音
ch?te {Fr.},下行倚音
chyn,琴；古琴
ciaccona {It.},夏康舞曲
ciaramella {It.},蕭姆管
cibalom,揚琴｛東歐｝
cibell,西貝爾曲式
ciclo di liriche {It.},聯篇歌曲
ciclo {It.},連環；循環
cilindro rotativo {It.},活塞
cilindro {It.},活塞
cimbal d'amour {Ger.},古鋼琴
cimbaletto {It.},鈴鼓
cimbalo,鈸
cimbalom,揚琴｛東歐｝
cimbasso {It.},有鍵低音長號
cinema organ,電影院風琴
cinque pace,五步舞
cinque pas,五步舞
cinque pass,五步舞
cinqui?me octave {Fr.},小字三點音｛音域｝
ciphering,故障音（風琴）
circle canon,迴旋卡農
circle of fifths,五度圈
circle of fourths,四度圈
circle of keys,調子圈
circolo delle quinte {It.},五度圈
circular canon,迴旋卡農
Cis {Ger.},升Ｃ
Cisis {Ger.},重升C
Cister {Ger.},西特琴
cistre {Fr.},西特琴
Cithare {Ger.},西特琴
Cither {Ger.},西特琴
cithern,西特琴
citole,西托爾琴（中世紀魯特琴）
cittern,西特琴
civettando {It.},諂媚的；作態的
clairon {Fr.},號角
clappers,響板；拍板
claquebois {Fr.},木琴
claquette {Fr.},嘎嘎器；搖響器
clarinet,單簧管
clarinet family,單簧管家族
clarinette alto {Fr.},中音單簧管
clarinette basse {Fr.},低音單簧管
clarinette contralto {It.},降E調低音單簧管
clarinette contrebasse {Fr.},倍低音單簧管
clarinette d'amour {Fr.},柔音單簧管
clarinette {Fr.},單簧管
clarinetto contrabbasso {It.},倍低音單簧管
clarinetto contralto {It.},中音單簧管
clarinetto piccolo {It.},小單簧管
clarinetto {It.},單簧管
clarino {It.},高音小號｛古名｝；小號高音區
clarone {It.},大單簧管
clarone {It.},低音單簧管；中音單簧管；單簧管｛早期｝；小號｛中世紀｝
classical form,古典形式
classicism,古典主義
clausula {Lat.},克勞蘇拉（中世紀複音音樂終止式）
clave {Sp.},譜號
clavecin ? archet {Fr.},有弓鍵盤樂器
clavecin de p?dale {Fr.},踏瓣大鍵琴
clavecin organis? {Fr.},複合鍵盤樂器
clavecin vertical {Fr.},直立式大鍵琴
clavecin {Fr.},大鍵琴
clavemusicum omnitonum {Lat.},微分音大鍵琴
claves {Sp.},響棒
Clavicembalo {Ger.},大鍵琴
clavicembalo {It.},大鍵琴
clavichord,古鋼琴
Clavichord {Ger.},古鋼琴
clavicor,克拉維號
clavicorde {Fr.},古鋼琴
clavicordium {Lat.},古鋼琴
clavicorno {It.},克拉維號
clavicylinder,鍵盤玻璃琴
Clavicymbelpedal {Ger.},踏瓣大鍵琴
clavicytherium {Lat.},直立式大鍵琴
clavier d'?cho {Fr.},回聲風琴
Clavier ?bung {Ger.},鍵盤曲集
clavier {Fr.},鍵盤樂器
Clavier {Ger.},鋼琴；鍵盤樂器
claviorgan,複合鍵盤樂器
clavi?rgano {It.},複合鍵盤樂器
cl? {Fr.},譜號
clef,譜號
clef d'ut {Fr.},Ｃ譜號
clef de baryton {Fr.},上低音譜號
clef de basse profonde {Fr.},下低音譜號
clef de basse {Fr.},低音譜號
clef de fa {Fr.},Ｆ譜號
clef de sol {Fr.},Ｇ譜號
clef du violin {Fr.},小提琴譜號
clef {Fr.},譜號
cliquette {Fr.},響板；拍板
cloche des tons {Fr.},音鐘
cloche {Fr.},鐘
cloches tubulaires {Fr.},管鐘
close,終止
close cadence,大終止
close canon,有終卡農
close chord,密集和弦（絃）
close fugue,緊湊復格
close harmony,密集和聲
close imitation,緊模仿
close position,密集位置
closed pipe,閉管
closing resolution,終止解決
closing section,結束樂段
cluster,音簇；音堆
coach horn,郵號
cobla {Sp.},柯布拉樂隊
Cobz?,柯不扎琴
coda,尾聲；尾奏
coda uncinata {It.},符尾
coda {Fr.},尾聲；尾奏
coda {It.},尾聲；尾奏
codetta {It.},小尾聲；小尾奏
codex,抄本
Codex Chigi,基吉抄本
codex {Fr.},抄本
codex {Lat.},抄本
codice {It.},抄本
cog rattle,齒輪嘎嘎器
col arco {It.},用弓奏
col canto {It.},配合歌唱
col legno {It.},用弓背奏
colascione {It.},柯拉兄內琴
coll' ottava,加八度
coll'arco {It.},用弓奏
coll'ottava {It.},連八度奏
colla parte {It.},配合主要聲部
colla punta dell'arco {It.},用弓尖部奏
colla voce {It.},配合獨唱聲部
collect,集禱經
collegamento di accordi {It.},和弦連接
collegium musicum {Lat.},音樂社團
collegium rorantistarum {Lat.},教堂唱詩班
coloration,色符記譜法；色彩裝飾
coloratura soprano {It.},華彩女高音；花腔女高音
coloratura {It.},華彩；花腔
colotomic structure,銜接式構造
coloured hearing,色彩聽覺
combination tone,混合音
combined counterpoint,混合對位法
combo,小爵士樂隊
come {It.},如同
comes {Lat.},答句
comic opera,喜歌劇
comiquement {Fr.},喜劇的；詼諧的
comma,音差
comma {Fr.},音差
comma sintonico {It.},共振音差
comma{It.},音差
Commedia dell'arte {It.},即興喜劇
commercial jazz,商業爵士樂
common chord,普通和弦
Common measure,四四拍子
common pitch,共同音高
common time,四四拍子
Commune sanctorum {Lat.},諸聖節
communio {Lat.},領主詠
communion {Fr.},領主詠
comodo {It.},悠閒的；舒適的
compact cassette,卡式錄音帶
compact disc,雷射唱片｛ＣＤ｝
companella {It.},小鈴；小鐘
comparative musicology,比較音樂學
comp?s {Sp.},小節
compass,音域
compass of voice,聲部音域；聲音音域
competition in music,音樂比賽
compiacevole {It.},爽快的
complainte {Fr.},悲嘆之歌
complement,轉位音程
complementary interval,轉位音程
complete bar,完全小節
complete cadence,完全終止
complete edition,全集
complete modulation,完全轉調
complete perfect cadence,完全終止
complex figuration,複雜音型法
complex rhythm,複節奏
compline,晚禱
component tone,分音
componium,複合自動管風琴
composer,作曲家
composition,作品；樂曲；作曲
compound authentic cadence,複式正格終止
compound auxiliary note,複助音
compound binary form,複二段體
compound changing tone (note),複換音
compound duple meter,複二拍子
compound duple time,複二拍子
compound figuration,複合音型法
compound interval,複音程
compound measure,複拍子
compound meter,複拍子
compound modulation,複轉調
compound quadruple time,複四拍子
compound rhythm,複節奏
compound suspensions,複掛留音
compound ternary form,複三段式
compound time,複拍子
compound tone,複合音
Compound triple meter,複三拍子
compound triple time,複三拍子
computer cantata,電腦清唱劇
computer music,電腦音樂
con allegrezza,明朗快樂的
con amore {It.},情意綿綿的
con anima {It.},生氣蓬勃的；精神煥發的
con ardore {It.},如火如荼的
con bravura {It.},精湛技巧的
con brio {It.},有精神的
con calore {It.},熱烈的；熱情的；激烈的
con energia {It.},加強的
con energia {It.},使勁的
con espressione {It.},富於表情的
con garbo {It.},優雅的；高尚的
con giusto {It.},精確的
con grazia {It.},優雅的；可愛的
con malinconia {It.},憂鬱的
con moto {It.},速度略快
con passione {It.},感動的
con pedale {It.},使用踏瓣
con scioltezza {It.},悠閒的
con sentimento {It.},充滿感情的
con sordino {It.},加弱音器
con spirito {It.},有精神的
con tenerezza {It.},溫柔的
con tutta la forza {It.},全力以赴的
con {It.},與
concentus {Lat.},合唱；合唱團
concert,音樂會
concert aria,音樂會詠唱調
concert de chambre {Fr.},室內音樂會
concert grand piano,大平臺鋼琴；音樂會大鋼琴
concert hall,演奏廳；音樂廳
concert music,音樂會音樂
concert overture,音樂會序曲
concert performer,演奏家
concert piece,音樂會曲
concert pitch,音樂會音高
concert program,音樂會曲目
concert room,演奏室
concert singer,歌唱家
concert spirituel {Fr.},聖靈音樂會；牧靈音樂會
concert {Fr.},音樂會；合奏曲
concertante {It.},複協奏曲
concertina,六角手風琴
concertina {Fr.},六角手風琴
concertino {It.},獨奏群；小協奏曲
concertist,{法文}才是演奏家之意
concertmaster,樂團首席
concerto,協奏曲
concerto da camera {It.},室內協奏曲
concerto da chiesa {It.},教會協奏曲
concerto ecclesiatico {It.},教會協奏曲
concerto grosso {It.},大協奏曲
concerto {Fr.},協奏曲
concerto {It.},協唱奏曲；協奏曲；音樂會
concerto {It.},協奏曲
concierto {Sp.},協奏曲
concierto {Sp.},音樂會
concise binary form,簡明二段體
concitato {It.},激動的；感動的
concord,協和和弦（絃）
concord harmony,協和和弦（絃）和聲
concours de musique {Fr.},音樂比賽
condotta delle voci {It.},聲部進行
conducteur {Fr.},簡化總譜
conducting,指揮法
conductor,指揮
Conductus motet,康都經文歌
conductus {Lat.},康都曲風
conduite des voix {Fr.},聲部進行
confinalis {Lat.},副終止音（教會調式）
conga ( drums ),康加鼓
congoer? {Sp.},拱戈耶拉｛擦響器｝
conjunct and disjunct,級進與跳進
conjunct degree,連續級
conjunct motion,級進
conjunct tetrachords,直接四音組
conjunctura {Lat.},方形記譜
connection of chords,和弦連接
consecutive dominant chords,連續屬和弦（絃）
consecutive fifths,連續五度
consecutive fourths,連續四度
consecutive octaves,連續八度
consecutive seconds,連續二度
consecutive sevenths,連續七度
consecutive unisons,連續同度
consecutives,連續
consequent phrase,後分句
conservatoire {Fr.},音樂學院
conservatorio {It.},音樂學院
conservatorio{Sp.},音樂學院
conservatory,音樂學院
consolations {Fr.},安慰
consonance,協和；協和音
consonance imparfaite {Fr.},不完全協和；不完全協和音　
consonance parfaite {Fr.},完全協和
consonance {Fr.},協和；協和音
consonant,子音
consonant chord,協和和弦（絃）
consonant interval,協和音程
consonante {It.},子音
consonanza imperfetta {It.},不完全協和；不完全協和音
consonanza perfetta {It.},完全協和
consonanza {It.},協和；協和音
consonne {Fr.},子音
consort,同類樂器重奏
contemporary music,當代音樂
continental fingering,歐陸指法
continental tango,歐陸探戈舞曲
continuity,連續性
continuo {It.},持續低音；數字低音
contra octave,下一點八度（音域）
contrabass,低音提琴
contrabass clarinet,倍低音單簧管
contrabass clef,下低音譜號
contrabass sarrusophone,倍低音薩魯管
contrabass saxophone,倍低音薩氏管
contrabass trombone,倍低音長號
contrabass tuba,低音號
contraction of sentence,樂句縮短
contradanza {Sp.},鄉村舞曲；對舞舞曲
contraddanza {It.},鄉村舞曲；對舞舞曲
contrafactum {It.},換詞歌曲
contrafagotto {It.},倍低音管
contralto {It.},中音；女低音
contraponto doppio {It.},二部對位
contrappunto eguale {It.},等值對位法
contrappunto ineguale {It.},不等值對位法
contrappunto invertibile {It.},複對位
Contrappunto quadruplo {It.},四部複對位法
contrappunto quintuple {It.},五部複對位法
contrappunto triplo {It.},三部對位
contrappunto {It.},對位法
contrapunctus aequalis {Lat.},等值對位法
contrapunctus inaequalis {Lat.},不等值對位法
contrapunctus {Lat.},對位法
contrapuntist,對位法家
contrapunto {Sp.},對位法
contrary motion,反行
contrast construction,對比構造
contrasted motive,對比動機
Contratanz {Ger.},鄉村舞曲；對舞舞曲
contre chant {Fr.},對位聲部；對旋律
contre octave {Fr.},下一點八度（音域）
contre sujet {Fr.},對句；對位主題
contrebasse ? pistons {Fr.},活塞式低音號
contrebasse d'harmonie {Fr.},奧菲克萊德號
contrebasson {Fr.},倍低音管
contredanse {Fr.},鄉村舞曲；對舞舞曲
contrepoint doubl? {Fr.},二部對位
contrepoint en ronde {Lat.},等值對位法
contrepoint fleuri {Fr.},華彩對位
contrepoint imitatif {Fr.},模仿對位法
contrepoint in?gal {Fr.},不等值對位法
contrepoint libre {Fr.},自由對位
Contrepoint quadruple {Fr.},四部複對位法
contrepoint quintuple {Fr.},五部複對位法
contrepoint renversable {Fr.},複對位
contrepoint strict {Fr.},嚴格對位
contrepoint triple {Fr.},三部對位
contrepoint {Fr.},對位法
contreteneur {Fr.},中音 ｛音域｝；假聲中音
controcanto {It.},對位聲部；對旋律
controsoggetto {It.},對句；對位主題
controtema {It.},對句；對位主題
convenient notation,簡便記譜法
Cool jazz,冷爵士
coon song,黑人歌
coperti {pl.} {It.},蒙布奏的；覆蓋；掩蓋
coperto {It.},蒙布奏的；覆蓋
copista {It.},抄譜家
copiste {Fr.},抄譜家
copula {Lat.},聯結
copyist,抄譜家
copyright,著作權；版權
Cor ? main {Fr.},手號
cor ? pistons {Fr.},有鍵號
cor anglais {Fr.},英國管
cor d'harmonie {Fr.},自然號
cor de basset {Fr.},巴塞管
cor de chasse {Fr.},獵號
cor en signal {Lat.},信號
cor {Fr.},號角，圓號；號角音栓｛管風琴｝
corale per organo {It.},管風琴聖詠
corda {It.},弦（絃）
corde ? vide {Fr.},空弦（絃）
corde di resonanza {It.},共鳴弦（絃）
corde en boyau {Fr.},腸弦（絃）
corde vocali {It.},聲帶
corde {Fr.},弦（絃）
cordes sympathiques {Fr.},共鳴弦（絃）
cordes vocales {Fr.},聲帶
cordier {Fr.},繫弦（絃）板
cordiera {It.},繫弦（絃）板
corista {It.},音叉；標準音高；合唱團員
cormet de poste {Fr.},郵號
cornemuse {Fr.},法國風笛
cornet,短號；郵號；角號；角號音栓｛管風琴｝
Cornet ? pistons {Fr.},有鍵短號
corneta {Sp.},短號；郵號；角號；角號音栓｛管風琴｝
Cornett {Ger.},短號；郵號；角號；角號音栓｛管風琴｝
cornetta di postiglione {It.},郵號
cornetta {It.},短號；郵號；角號；角號音栓｛管風琴｝
Corno a mano {It.},手號
corno alto {It.},高音號
corno basso {It.},英國蛇號；英國蛇號音栓
corno da caccia {It.},獵號
corno da segnale {Fr.},信號
corno di bassetto {It.},巴塞管
corno doppio {It.},雙調圓號
corno inglese {It.},英國管
corno naturale {It.},自然號
corno ventile {It.},活塞號角
corno {It.},號角，圓號；號角音栓｛管風琴｝
cornopean,短號；短號音栓
cornu {Lat.},號角
coro di chiesa {It.},聖歌隊
coro femminile {It.},女聲合唱；女生合唱團
coro maschile {It.},男聲合唱；男聲合唱團
coro spezzato {It.},複合唱
coro {It.},合唱；合唱團
corona {It.},停留記號；延長記號；延長音
coronation anthems,加冕頌歌
corpo de musique {Fr.},軍樂隊
corpo di musica {It.},軍樂隊
corps de rechange {Fr.},變音管
corrente {It.},庫朗舞曲
corrido {Sp.},柯利多舞曲
corthol,庫塔爾管
corto {It.},短小的
coryph?e {Fr.},領班；領唱者
cosaque {Fr.},哥薩克舞曲
Cos? {It.},如此
cossack,哥薩克舞曲
c?t? cour {Fr.},舞臺右側｛面對舞臺｝
c?t? jardin {Fr.},舞臺左側｛面對舞臺｝
c?telettes {Fr.},筷子曲
cotillon {Fr.},柯第永舞
counter exposition,對應呈示部
counter subject,對句
counter voice,對位聲部；對旋律
counterfugue,反行復格
counterpoint,對位法
countertenor,中音 ｛音域｝；假聲男高音
counting time,數拍
country dance,鄉村舞曲；對舞舞曲
country music,鄉村音樂
coup d'archet {Fr.},弓法　
coup de glotte {Fr.},振動聲門
coup de langue {Fr.},運舌法
couplet {Fr.},主歌｛舞歌｝；變化段｛輪旋曲｝；二連音；二連音符
courante {Fr.},庫朗舞曲
course,弦組
courtaud {Fr.},庫塔爾管
covered fifths,隱伏五度
covered octaves,隱伏八度
covered unison,隱伏同度
cow horn,牛角號
Cowbell,牛鈴
crab canon,逆行卡農
crab motion,蟹行
cradle song,搖籃曲
cr?ation artistique {Fr.},藝術創作
Creative music making,創作性音樂學習法
cr?celle {Fr.},嘎嘎器
credo,信經
"Cremona School, The",格里摩那派
creole music {It.},混血音樂
crescendo ed animando {It.},漸強而有活力的
crescendo molto {It.},大幅度漸強
crescendo pedal,漸強踏瓣
crescendo p?dale {Fr.},漸強踏瓣
crescendo subito {It.},立即漸強
crescendo {It.},漸強
critique musicale {Fr.},音樂評論
croche {Fr.},八分音符；符尾
croma {It.},八分音符
cromatico {It.},半音的；變化音的
cromatismo {It.},半音體系；半音風格；半音主義
cromorne {Fr.},克隆姆管；克隆姆管音栓
cromorno {It.},克隆姆管；克隆姆管音栓
crook,變音管
crooner,哼唱者
crooning,輕唱；低聲唱
cross accent,交叉強音
cross fingering,交叉指法
cross flute,橫笛
cross relation,假關係；交叉關係
cross relation,交叉關係
cross rhythm,交叉節奏
crossing of parts,聲部交叉
crotales {Fr.},古鈸
crotchet,四分音符；黑音符
crotchet rest,四分休止符
crowd,克魯特琴
Crucifixus {Lat.},被釘在十字架上
cruit,克魯特琴（愛爾蘭）
crumhorn,克隆姆管；克隆姆管音栓
crutoll,庫塔爾管
crwth {welsh},克魯特琴
cs?rd?s {Hu.},查爾達斯舞曲
cuando,關多舞曲｛拉丁美洲｝
cuator {Sp.},小吉他
Cuban bongos,古巴班戈鼓
cuckoo,布穀笛
cue,導引樂句；提示
cueca {Sp.},奎卡舞曲
cuerda {Sp.},弦（絃）
Cuivr? {Fr.},吼聲
cumbia {Sp.},昆比亞舞曲
cupo {It.},陰暗的
curtain music,間奏曲
curtain tune,間奏曲
curtal,庫塔爾管
curtle,庫塔爾管
cutlets {Fr.},筷子曲
cycle,連環；循環
cycle de m?lodies {Fr.},聯篇歌曲
cycle des quintes {Fr.},五度圈
cyclic form,連篇形式；連章形式
cyclic mass,連章彌撒曲
cylindre {Fr.},活塞
cymbale,鈸
Cymbales antiques {Fr.},古鈸
cymbales antiques {Fr.},古鐃鈸
cymbals,鈸｛雙面｝；鈸｛鐃鈸、銅鈸｝
cymbalum {Lat.},鈸
Czardas,查爾達斯舞曲
Czardas {Fr.},查爾達斯舞曲
D sharp,升Ｄ
D.C.=da capo {It.},返始
D.S.=dal segno; al segno,從S記號反復
da capo aria {It.},返始詠唱調
da {It.},自；從；由；在…
Dagu[中],大鼓
Dah-ching[中],大罊
Dah-huh[中],大護
Dah-lu[中],大呂
dal segno {It.},連續記號
Dalagu,答臘鼓
Dalang,達蘭
damaru,達馬魯鼓
Damenisation {Ger.},唱名法
damper,制音器；弱音器
damper pedal,制音踏瓣
D?mpfer {Ger.},制音器；弱音器
d?n bau,獨弦琴｛越南｝
dance form,舞曲形式
dance music,舞樂
dance notation,舞譜
dance poem,舞詩
dance suite,舞蹈組曲
dance {Fr.},舞蹈
Dante symphonie {Ger.},但丁交響曲
Danza tedesca {It.},德國舞曲
danza {It.},舞蹈；舞曲
danz?n {Sp.},丹頌舞曲
darabukka,達拉布卡鼓
dark tone,暗音
Darmsaite {Ger.},腸弦（絃）
Darstellung {Ger.},表現；表演
Daseian notation,達吉亞記譜法
DASH,多軌數位錄音機
Dasia Notation {Ger.},達吉亞記譜法
Dastgah,達斯特加哈（調式）
dazu {Ger.},再加上…
dead interval,死音程
deafness,聾
d?but {Fr.},初次登臺
debutto{It.},初次登臺
deceptive cadence,假終止
deceptive resolution,假解決
D?chant sur le livre {Fr.},歌本複音法
d?chant {Fr.},複音音樂的一種；高音聲部；高音樂器
d?chiffrage {Fr.},視奏；視唱
decibel,分貝
decibel,分貝
decib?l {Fr.},分貝
decibel {It.},分貝
decima {It.},十度
decimole,十連音，十連音符
Deciso {It.},決然的；堅定的
Decke {Ger.},面板
Deckung {Ger.},蒙布奏的；覆蓋
declamation,朗誦法；朗讀法
declamation {Fr.},朗誦法；朗讀法
decrescendo {It.},漸弱
decuplet,十連音，十連音符
degree,音級
degree of scale,音級
degree of stave,線譜音級
degr?s naturels {Fr.},自然音
Deklamation {Ger.},朗誦法
d?licat {Fr.},精緻的；微妙的
delicato {It.},精緻的；微妙的
delirante {It.},狂亂的；昏亂的
delizioso{it.},甜美的；纖柔的
d?mancher {Fr.},移高把位｛弦樂器｝
demi cadence {Fr.},半終止
demi instrument {Fr.},半管樂器
demi jeu {Fr.},半開
demi pli? {Fr.},半蹲
demi pointe {Fr.},半躡
demi soupir {Fr.},八分休止符
demi ton {Fr.},半音
demi-pause {Fr.},二分休止符
demiquaver,十六分音符
Demiquaver rest,十六分休止符
demisemiquaver,三十二分音符
demisemiquaver rest,三十二分休止符
dem?tig {Ger.},謙遜的；溫和的；屈服的
Denkm?ler der Tonkunst {Ger.},音樂巨集
Denkm?ler {Ger.},巨集｛音樂｝
dependent chord,非獨立和弦（絃）
derecha {Sp.},右手
derivative chord,衍生和弦（絃）
derivative tone,支音
derived notes,變化音
Des {Ger.},降D
descending,下行
descriptive music,描繪音樂
Deses {Ger.},重降Ｄ
destro {It.},右邊
d?tach? {Fr.},斷音；分弓奏法
determinato {It.},決然的；堅定的
Detonieren {Ger.},走音
dettato musicale {It.},音樂聽寫；音樂練耳
deuterus {Gr.},第二
Deutlich {Ger.},明確的；清晰的
Deutsche messe{Ger.},德國彌撒
Deutsche Sexte {Ger.},德國增六度
Deutsche {Ger.},德國舞曲
Deutscher Tanz {Ger.},德國舞曲
Deutsches requiem{Ger.},德國安魂曲
deux parties {Fr.},二聲部
deux voix {Fr.},二聲部
deuxi?me octave {Fr.},小字八度音
deuxi?me renversement {Fr.},第二轉位
deuxi?me th?me {Fr.},第二主題
development,發展部
d?voloppement {Fr.},發展部
Dezibel {Ger.},分貝
Dezime {Ger.},十度
Dhol,多爾鼓
Dhrupad,多魯帕德
di molto {It.},很；相當的
diabolus in musica {Lat.},魔鬼音程
diadtematic,音高紐姆譜
dialogo {It.},對白；對話曲
dialogue,對白；對話曲
dialogue {Fr.},對白；對話曲
diapason {Fr.},音叉；音域；音栓
diapason de voix {Fr.},聲部音域；聲音音域
diapason della voce {It.},聲部音域；聲音音域
diapason ?talon {Fr.},標準音叉
diapason normal {Fr.},標準音高
diapason normale {It.},標準音高
diapason {Gr.},音叉；音域；音栓
diapason {It.},音叉
diapas?n {Sp.},指板
diapason{Fr.},音域；音叉
diapente {Gr.},五度音程
diaphonia {Gr.},不協和音
diaphragm,橫隔膜
diastematic,音高紐姆譜
Diast?matique {Fr.},音高紐姆譜
Diastematisch {Ger.},音高紐姆譜
diatessaron {Gr.},音高紐姆譜
diatonic,自然音的
diatonic accordion,自然音手風琴
diatonic auxiliary note,自然助音
diatonic chord,自然音和弦（絃）
diatonic concord,自然協和和弦（絃）
diatonic discord,自然不協和和弦（絃）
diatonic harmony,自然音和聲
diatonic interval,自然音程
diatonic minor scale,自然小音階
diatonic modulation,自然音轉調
diatonic passing note,自然經過音
diatonic scale,自然音階
diatonic semitone,自然半音
diatonic seventh,自然音七和弦（絃）
diatonic triad,自然音三和弦（絃）
diatonic whole tone,自然全音
diatonicism,自然音風格
diatonische Tonleiter {Ger.},自然音階
diatonisches Intervall {Ger.},自然音程
dictation,聽寫
dictation and ear training,聽寫與練耳
dict?e musicale {Fr.},音樂聽寫；音樂練耳
diction,讀音；咬吐字；發音法
diction {Fr.},讀音；咬吐字；發音法
dictionary of music,音樂辭典
dictionnaire de la musique {Fr.},音樂辭典
Didjeridu(Didjeridoo),狄杰利多號
Didymic comma,狄氏音差
Dies irae {Lat.},末日經
di?se {Fr.},升記號
diesis {It.},升記號
diferencia {Sp.},古變奏曲
difference threshold,差異臨限
difference tones,分音
differentiae {Lat.},變化尾部
differenzt?ne {Ger.},分音
diffraction,繞射；折射
diffraction {Fr.},繞射；折射
digital,數位
Digital Audio Stationary Head,多軌數位錄音機
Digital Audio Tape,數位錄音機
digital audio tape recorder,數位錄音機
digitazione {It.},指法
Dijon Chansonnier {Fr.},第戎歌本
diligente {It.},小心的
diminished fifth,減五度
diminished fourth,減四度
diminished interval,減音程
diminished octave,減八度
diminished seventh,減七度
diminished seventh chord,減七和弦（絃）
diminished sixth,減六度
diminished third,減三度
diminished triad,減三和弦（絃）
diminuendo {It.},漸弱
diminutio {Lat.},減值
diminution,減值
diminution {Fr.},減值
dinamica{It.},力度
Diphthong {Ger.},雙母音
diplacusis,複聽（雙重聽覺）
Diple (Diplye),狄普爾管
direct,提示記號
direct canon,順向卡農
direct extraneous modulation,直接遠系轉調
directaneus {Lat.},直詠的
direction {Fr.},指揮法
director musices {Lat.},音樂總監
director {Sp.},指揮家
direttore {It.},指揮家
direzione {It.},指揮法
dirge,輓歌
Dirigent {Ger.},指揮
Dirigieren {Ger.},指揮法
diritta {It.},右；右手
Dis {Ger.},升Ｄ
disc,磁片；光碟
Disc jockey,音樂播放師｛D.J.｝
discant,複音音樂的一種；高音聲部；高音樂器
discant clef,高音譜號
Discant Mass,複音彌撒曲
Discantus supra libum {Lat.},歌本複音法
discantus {Lat.},複音音樂的一種；高音聲部；高音樂器
disco {It.},迪斯可舞曲；唱片
discography,唱片目錄
discord,不協和和弦（絃）；不協和音
discord harmony,不協和和聲
diseur {Fr.},說唱歌手｛男性｝
diseuse{Fr.},說唱歌手｛女性｝
disguised motive,偽裝動機
Disis {Ger.},重升D
disjunct motion,跳進
disjunct tetrachords,間接四音組
Diskant {Ger.},複音音樂的一種；高音聲部；高音樂器
Diskantusmesse {Ger.},複音彌撒曲
Diskographie {Ger.},唱片目錄
Disphony,樂曲結構
displaced accent,不規則強音
disposition,配置
